id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
099050aa,2020-11-24,967,5,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-25,1007,6,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-26,1023,6,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-27,1042,6,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-28,1057,6,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-29,1066,7,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-11-30,1084,7,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-01,1102,7,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-02,1160,8,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-03,1175,8,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-04,1200,9,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-55.47,-51.85,-50.89,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-05,1213,9,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-06,1230,9,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-07,1245,9,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-08,1246,20,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-09,1326,21,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-10,1332,21,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-11,1351,22,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-12,1357,22,,,,,,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-13,1361,22,,,,0,0,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,0,2,-52.34,-51.85,-50.89,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-12-14,1369,23,,,,0,0,,,,-2,1,1,3,0,1,1,3,2,2,1,-3,1,2,-53.59,-51.85,-52.32,-62.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
