invoice,date,storenumber,storename,address,city,zipcode,storelocation,countynumber,county,category,categoryname,vendornumber,vendorname,itemnumber,itemdescription,pack,bottlevolume,statebottlecost,statebottleretail,bottlessold,sale,volumesoldl,volumesoldg
INV-42102000004,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,384,PIEDMONT DISTILLERS INC,101491,Midnight Moon Party Pack Minis,12,200,$5.75 ,$8.63 ,12,103.56,2.4,0.63
INV-42102300002,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1701100,Temporary & Specialty Packages,125,CEDAR RIDGE VINEYARDS LL,26096,Cedar Ridge Double Barrel Bourbon Whiskey,6,750,$25.00 ,$37.50 ,3,112.5,2.25,0.59
INV-42101600002,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011300,Single Barrel Bourbon Whiskies,421,SAZERAC COMPANY  INC,21589,EH Taylor Jr Single Barrel,6,750,$33.34 ,$50.01 ,1,50.01,0.75,0.19
INV-42101500045,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11774,Black Velvet,24,375,$3.07 ,$4.61 ,24,110.64,9,2.37
INV-42102300006,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011300,Single Barrel Bourbon Whiskies,421,SAZERAC COMPANY  INC,21589,EH Taylor Jr Single Barrel,6,750,$33.34 ,$50.01 ,1,50.01,0.75,0.19
INV-42102000018,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1031100,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,$19.00 ,$28.50 ,6,171,10.5,2.77
INV-42102300010,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1062400,Spiced Rum,259,Heaven Hill Brands,43028,Admiral Nelson Spiced,6,1750,$11.55 ,$17.33 ,6,103.98,10.5,2.77
INV-42101500026,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081400,American Schnapps,380,Phillips Beverage,84617,Phillips Root Beer Schnapps,12,1000,$5.50 ,$8.25 ,12,99,12,3.17
INV-42101500046,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25604,Seagrams 7 Crown,12,375,$3.50 ,$5.25 ,12,63,4.5,1.18
INV-42101500011,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012200,Scotch Whiskies,421,SAZERAC COMPANY  INC,4796,Cutty Sark Scotch,12,750,$10.02 ,$15.03 ,12,180.36,9,2.37
INV-42102700002,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1031200,American Flavored Vodka,380,Phillips Beverage,41692,UV Blue Raspberry,6,1750,$11.50 ,$17.25 ,2,34.5,3.5,0.92
INV-42101500007,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011100,Blended Whiskies,65,Jim Beam Brands,27544,Red Stag Black Cherry,12,750,$11.00 ,$16.50 ,12,198,9,2.37
INV-42101500009,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,619,Campari America,22121,Wild Turkey 81,12,750,$11.40 ,$17.10 ,12,205.2,9,2.37
INV-42101500008,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,28279,Jim Beam Peach,12,750,$11.00 ,$16.50 ,12,198,9,2.37
INV-42101500013,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012100,Canadian Whiskies,322,Prestige Wine & Spirits Group / United States Distilled Products Co,15248,Windsor Canadian PET,6,1750,$9.50 ,$14.25 ,12,171,21,5.54
INV-42101500040,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011600,Straight Rye Whiskies,260,DIAGEO AMERICAS,27037,George Dickel Rye,12,750,$13.50 ,$20.25 ,3,60.75,2.25,0.59
INV-42102700005,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1041100,American Dry Gins,65,Jim Beam Brands,30236,Gilbeys Gin,12,750,$5.00 ,$7.50 ,3,22.5,2.25,0.59
INV-42102500005,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,21598,Ten High,6,1750,$9.24 ,$13.86 ,6,72,10.5,2.77
INV-42102000010,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1062200,White Rum,35,BACARDI USA INC,43127,Bacardi Superior,12,1000,$9.50 ,$14.25 ,12,171,12,3.17
INV-42102300013,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17958,Evan Williams Black,6,1750,$16.00 ,$24.00 ,6,144,10.5,2.77
INV-42101500028,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081400,American Schnapps,65,Jim Beam Brands,82840,Dekuyper Luscious Peachtree PET,12,750,$6.50 ,$9.75 ,12,117,9,2.37
